name,name_hebrew,db_id,type,lat,lon,year_established,district,municipality,category,nearest_settlement
Beit Shmuel - Koko's Farm,חוות מרום שמואל-קוקו; (בית דג'ן גבעה 666),1126.0,Outpost,32.205031,35.391165,2020,Nablus,Jordan Valley,Farm Outpost,Hamra
Dorot Nahal Kana Farm,חוות דורות נחל קנה,1135.0,Outpost,32.133274,35.060035,2020,,Shomron,Farm Outpost,Maale Shomron
Pnei Kedem Farm,חוות פני קדם,1139.0,Outpost,31.584741,35.200462,2020,,Gush Etzion,Farm Outpost,Pnei Kedem
Amihai South,עמיחי דרום (שומרי העמק),1115.0,Outpost,32.039872,35.321908,2020,Ramallah,Binyamin,Farm Outpost,Amihai
Rashash Farm,חוות רשאש,1131.0,Outpost,32.042057,35.40321,2020,Ramallah,Jordan Valley,Farm Outpost,Tomer
Um Zaituna,אום זיתונא (משק מן),1122.0,Outpost,31.416483,35.175978,2020,Hebron,Har Hebron,Farm Outpost,Carmel
Nahal Shilo Farm,חוות נחל שילה (ליד גבעת הראל),1130.0,Outpost,32.047315,35.281241,2020,Ramallah,Binyamin,Farm Outpost,Shilo
Moshe's Farm,החווה של משה חוות עמק תרצה,1128.0,Outpost,32.213452,35.418535,2020,Nablus,Jordan Valley,Farm Outpost,Hamra
New Micha Farm,החוה של מיכה חדשה - חוות גאון הירדן,1119.0,Outpost,31.98574,35.354807,2020,Ramallah,Binyamin,Farm Outpost,kochav Hashahar
Maale Ahuviya,מעלה אהוביה,1129.0,Outpost,31.948902,35.331675,2020,Ramallah,Binyamin,Farm Outpost,kochav Hashahar
Asfar South Nahalat Avot,אספר דרום נחלת אבות,1118.0,Outpost,31.578785,35.19319,2020,Hebron,Gush Etzion,Farm Outpost,Asfar
Eden Farm,חוות עדן,1142.0,Outpost,32.137596,35.062453,2021,,Gush Etzion,Farm Outpost,Neve Daniel
Meitarim Farm,חוות מיתרים,1133.0,Outpost,31.363291,34.999298,2021,Hebron,Har Hebron,Farm Outpost,Meitarim Industrial Area
Evyatar,אביתר,1136.0,Outpost,32.119378,35.274324,2021,,Shomron,Outpost,Tapuach
Givat Hadegel Susiya,גבעת הדגל סוסיא,1145.0,Outpost,31.394806,35.10448,2021,,Har Hebron,Farm Outpost,Susiya
Mechora South - Yaya's Farm,מכורה דרום - החווה של יאיא,1159.0,Outpost,32.142453,35.410722,2021,,Jordan Valley,Farm Outpost,Mechora
Mevo'ot Jericho Farm,חוות מבואות יריחו,1143.0,Outpost,31.90976,35.42096,2021,,Jordan Valley,Farm Outpost,Mevo'ot Yericho
Zohar Farm,החווה של זהר,1160.0,Outpost,31.917193,35.383379,2021,,Jordan Valley,Farm Outpost,Mevo'ot Yericho
Ohavei Yah,אוהבי יה,1161.0,Outpost,31.658426,35.087008,2021,,Gush Etzion,Outpost,Bat Ayin
Avia Farm,"חוות אבי""ה",1173.0,Outpost,32.45463,35.11089,2021,,Shomron,Farm Outpost,Rehan
The farm in Yizhar,החווה ביצהר,1212.0,Outpost,32.162187,35.250855,2021,Nablus,Shomron,Farm Outpost,Yizhar
Pnei Kedem North Farm,חוות פני קדם צפון,1144.0,Outpost,31.600264,35.193271,2021,,Gush Etzion,Farm Outpost,Pnei Kedem
Yehuda Farm 2,חוות יהודה,1141.0,Outpost,31.386969,35.003173,2021,,Har Hebron,Farm Outpost,Shimaa
Oz Zion,עוז ציון,1158.0,Outpost,31.908277,35.249386,2021,,Binyamin,Outpost,Givat Assaf
Ramat Migron,רמת מגרון,1157.0,Outpost,31.88652,35.269659,2021,,Binyamin,Farm Outpost,Migron
Ori Ad,אורי עד,1166.0,Outpost,32.232762,35.159607,2022,Nablus,Kedumim,Outpost,Kedumim
Shorashim Farm,חוות שורשים,1176.0,Outpost,31.436574,35.193314,2022,Hebron,Har Hebron,Farm Outpost,Carmel
Khasham Um Daraj,ח'שם אום דרג' מצפה מדרג,1174.0,Outpost,31.442854,35.247827,2022,Yatta,Glilot,Outpost,Carmel
Nahalat Zvi,נחלת צבי,1175.0,Outpost,31.870566,35.298885,2022,Maale Michmash,Binyamin,Outpost,Maale Michmash
Hagoshen South Farm,חוות הגושן דרום,1214.0,Outpost,32.223787,35.540388,2022,,Jordan Valley,Farm Outpost,Hemdat
Avihai Farm,חוות אביחי,1168.0,Outpost,32.04677,35.032826,2023,Ramallah,Binyamin,Farm Outpost,Beit Arie
Or Meir,אור מאיר,1180.0,Outpost,31.934321,35.250422,2023,Ramallah,Binyamin,Outpost,Ofra
Gitit south - Jackson's Farm,גיתית דרום - החווה של ג'קסון,1181.0,Outpost,32.089417,35.388259,2023,,Jordan Valley,Farm Outpost,Gitit
Seurim Farm - Emanuelle south,חוות שעורים - עמנואל דרום,1187.0,Outpost,32.153904,35.147686,2023,,,Farm Outpost,Emanuelle
Tekoa' F Harel Farm,חוות הראל - תקוע,1188.0,Outpost,31.629806,35.249714,2023,Bethlehem,Gush Etzion,Farm Outpost,Tekoa'
Nahal Machoch farm,חוות נחל מכוך,1189.0,Outpost,31.90755,35.335187,2023,,Binyamin,Farm Outpost,Maa'le Michmash
Neve Erez South-Yinon's Farm,נווה ארז דרום - משכנות הראל,1190.0,Outpost,31.857166,35.315264,2023,,Binyamin,Farm Outpost,Neve Erez
Mevo'ot Jericho West,מבואות יריחו מערב - נצח הראל,1192.0,Outpost,31.908861,35.373813,2023,Jericho,Jordan Valley,Farm Outpost,Mevoo't Jericho
Simhovitz Farm,"חוות אמונה - שמחוביץ, חוות שדה הראל",1194.0,Outpost,31.375273,35.123479,2023,Hebron,,Farm Outpost,Mizpe Yair
Negohot North,נגוהות צפון - שכונת הכרם,1195.0,Outpost,31.500509,34.98511,2023,Hebron,Har Hebron,Outpost,Negohot
Elhai Farm,חוות אלחי - שבי שומרון,1216.0,Outpost,32.27346,35.154199,2023,Nablus,Shomron,Farm Outpost,Shave Shomron
Sde Yonatan,שדה יונתן,1196.0,Outpost,31.890726,35.282089,2023,Ramallah,Gush Etzion,Outpost,Ramat Migron
Givat Haktoret,גבעת הקטורת,1162.0,Outpost,32.061097,35.287236,2023,,Binyamin,Farm Outpost,Eli
Yahish Zion,יחיש ציון,1204.0,Outpost,31.888357,35.278539,2023,Ramallah,Binyamin,Outpost,Psagot
Daroma Farm - Avigail East,אביגיל מזרח - חוות דרומא,1197.0,Outpost,31.397035,35.145968,2023,Yatta,Har Hebron,Farm Outpost,Avigayil
Batir Mahrur - Heletz,בתיר מחרור - חלץ,1198.0,Outpost,31.716425,35.153266,2023,Bethlehem,Gush Etzion,Farm Outpost,
Nofei Elhanan,נופי אלחנן,1199.0,Outpost,32.281599,35.132213,2023,Tul Karem,Shomron,Outpost,Einav
Mizpe Yair South,מצפה יאיר דרום,1237.0,Outpost,31.377424,35.131271,2023,Yatta,Har Hebron,Outpost,Mizpe Yair
Asael north,עשהאל צפון,1200.0,Outpost,31.375642,35.046577,2023,Hebron,Har Hebron,Outpost,Asael
Masua West Farm,חוות משואה מערב - סרטבא,1217.0,Outpost,32.11233,35.479293,2023,Jericho,Jordan Valley,Farm Outpost,Mesoa
Mizpor Fazael - Maale Efrayim South East,מצפור פצאל - מעלה אפרים דרום מזרח,1193.0,Outpost,32.055567,35.420584,2023,,,Farm Outpost,Maale Efrayim
Mizpe Danny Farm,חוות מצפה דני/חוות רוח הארץ,1182.0,Outpost,31.881408,35.321952,2023,Ramallah,Binyamin,Farm Outpost,Maa'le Michmash
Susiya South,גבעת אלונים - סוסיא דרום,1183.0,Outpost,32.048097,35.032384,2023,Hebron,Har Hebron,Outpost,Susiya
Har Maon Farm,חוות הר מעון - נחלת דב - החווה של ישראל ונחמה,1271.0,Outpost,31.401262,35.167055,2023,Hebron,Har Hebron,Farm Outpost,Maon
Tov Haaretz (Old) Maon Farm,חוות טוב הארץ - מדבר מעון,1184.0,Outpost,31.40122,35.168191,2023,Hebron,Har Hebron,Farm Outpost,Maon
Shabo Family - Har Haela Farm,משפחת שבו בתוך 918 - הר האלה,1185.0,Outpost,31.387047,35.153869,2023,Hebron,Har Hebron,Farm Outpost,Mizpe Yair
Har Kanub North - Giva't Alufe Yehuda,הר כנוב צפון - גבעת אלופי יהודה - צור משגבי,1186.0,Outpost,31.60541,35.199677,2023,Hebron,Gush Etzion,Farm Outpost,Pnei Kedem
Rosh Te'ena Farm,חוות ראש תאנה,1219.0,Outpost,32.003641,35.37095,2023,Jericho,,Farm Outpost,Tomer
Ohana - Cnaan Farm Farm,אוחנה - חוות כנען חווה,1170.0,Outpost,31.819521,35.366386,2023,Jericho,Jordan Valley,Farm Outpost,Kfar Adumim
Bekaot South - Neria's farm,בקעות דרום - החווה של נריה - מבוא השמש,1171.0,Outpost,32.235679,35.447058,2023,,Jordan Valley,Farm Outpost,Bekaot
Bar Farm,חוות בר,1179.0,Outpost,32.07099,35.341228,2023,Nablus,Binyamin,Farm Outpost,Esh Kodesh
Gitit East - Dori's Farm,גיתית מזרח - נוף הרים,1224.0,Outpost,32.104067,35.402588,2023,,Jordan Valley,Farm Outpost,Gitit
Gal Yossef,גל יוסף,1201.0,Outpost,32.265669,35.176477,2024,Ramallah,Binyamin,Farm Outpost,
Kochav Hashahar West - Mizpe Lea,כוכב השחר מערב - מצפה לאה,1254.0,Outpost,31.949952,35.338681,2024,Ramallah,Binyamin,Outpost,Kochav Hashahar
Shaveh Shomron Farm,חוות שבי שומרון,1225.0,Outpost,32.264924,35.174295,2024,Nablus,Shomron,Farm Outpost,Shavei Shomron
Tekoa' F - Neighborhood,תקוע ו' - שכונה,1202.0,Outpost,31.631328,35.251291,2024,Bethlehem,,Outpost,Tekoa
Zohar Yehuda Farm,חוות זוהר יהודה - הר עזרור,1203.0,Outpost,31.62125,35.251477,2024,Bethlehem,,Farm Outpost,Tekoa
Malache Avraham Farm - Pnei Hever East,פני חבר מזרח - מלאכי אברהם - חוות מתניה,1205.0,Outpost,31.482174,35.174954,2024,Hebron,Har Hevron,Farm Outpost,Pnei Hever
Hoshen,חושן,1206.0,Outpost,32.055717,35.250294,2024,Ramallah,Binyamin,Outpost,Haroe
Beit Eliyahu,בית אליהו,1218.0,Outpost,32.13837,35.483437,2024,Jericho,Jordan Valley,Outpost,Mesua
Or Ahuvia -Maoz Ester B,אור אהוביה - מעוז אסתר ב',1220.0,Outpost,31.93735,35.268453,2024,Ramallah,Binyamin,Outpost,Ofra
Noda' BeYehuda,נודע ביהודה,1255.0,Outpost,31.596699,35.238899,2024,Bethlehem,Gush Etzion,Outpost,Maale Amos
Adumim Farm,חוות אדומים,1298.0,Outpost,31.774386,35.323703,2024,Jericho,Maale Adumim,Farm Outpost,Maale Adumim
Khan Ushpizin,חאן האושפיזין,1207.0,Outpost,31.625584,35.249828,2024,Bethlehem,,Farm Outpost,Tekoa
Tzur Harel Farm,חוות צור הראל,1208.0,Outpost,31.906197,35.243586,2024,Ramallah,Binyamin,Farm Outpost,Beit El (Oz Zion)
Amona Farm,חוות עמונה - מצפה רועים,1221.0,Outpost,31.954347,35.280664,2024,Ramallah,Binyamin,Farm Outpost,Ofra
